pool_name,x_reserve,y_reserve
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x29ea99de9a7979a7622b0901ad9dfdd9cb6807eed625e5bcf7a6585f025190c2::apt_moon::AptMoon>",363155,5428
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x29ea99de9a7979a7622b0901ad9dfdd9cb6807eed625e5bcf7a6585f025190c2::die_coin::DIE>",2551857,112746
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x2cc2a3b759b8f50eafd97044fc15104666f39f4f9160c9ca4a86fa727bcfb8cc::Hippotoken::Hippo>",4,258199
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x2cc2a3b759b8f50eafd97044fc15104666f39f4f9160c9ca4a86fa727bcfb8cc::ShitCaketoken::ShitCake>",40005,24895610408
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x2ebb1aac8ffe4cbeee1bd7cc874e77e51ece8f65c24a5ced35d614881ccd0d53::NiuHui_coin::NiuHuiCoin>",40010,7442680476
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x2ebbaa391e5372f2ced10e26cc75d1c17bbe01ece3b7a676dad44c43a5d76627::CakeMoon_coin::CakeMoonCoin>",62241,14923441691
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x30a5d69bd26b35ee4da46aa07bf428989b61a4b67aca451728ecb7aa8a5e57f0::doge_coin::DogeCoin>",40040,48423498
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x317df9dda493d7cb9b8d5597e64e0dac1a519376fa8fff9cb485a778638dedc3::FireMasterChefV1::FIRE>",3094081,29024819813358
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x324484b0574aa5a2988c6c21e0495a62805c499197438dc28bca3ffd50fbd543::apso_coin::ApsoCoin>",243564,44843058688983
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x385b4f8ca4ba726a17b0f5d33d03cc5599a286b204dd1d8d7b32540a22f91c07::dogebonk::BONK>",51875,122854221546
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x3888ebef7d4f0d89010fa42ec91f2bed14fbe57350f09d5c308e45d1c590b3f5::MoonCake_coin::MoonCakeCoin>",1423469,43223667555
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x3acd3383b2a9f080faa7744741702e482fdf2a3a6ff641177c2a7327459cc50f::RugMOJO_coin::RugMOJOCoin>",40009,8790280710
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x3b98df3bb901d09e77bdabcda2e6968a9976c7033d3d5058a594cfe958ef98c5::APTBOOM_coin::APTBOOMCoin>",40010,6701147316
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x3d7605ba58264eec0c8df1673308005a9ad18ace996284d0953ed28785a61135::APTBULL_coin::APTBULLCoin>",40010,8202987546
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x4925c5ae40a363bf57616533286f0f014cce8c93a653c30cd13d3ce4ce313664::OOXX_coin::OOXXCoin>",40010,11009582699
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x497c086c74ae1aa8c2dcfd548fcdea240021f2e697e0c8980818ee3608212895::BabyCake_coin::BabyCakeCoin>",1135335,34487012577
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x49f3571559dc77d26eb24fd1355b4283ed9e7d1e14a110a536cf69be00a7ff22::TRUMP::TRUMP>",1239337,249486386
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x49feab0911be585bc3d62733632ae2161f9ce6552dc41af4547b52dae30d34ca::MetaMask_coin::MetaMaskCoin>",40010,10001979373
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x4a14425eff774cc0f2ff395adc0f9b4f8867ef6e57bcd2d1fd91c249afefe820::PRT__JEAZSE::protonmjkk>",7927173,670997
"0xc7efb4076dbe143cbcd98cfaaa929ecfc8f299203dfff63b95ccb6bfe19850fa::swap::TokenPairReserve<0x1::aptos_coin::AptosCoin, 0x4a425935ac88ed51ab5c1caeec026e4f0a73467f9d26402fd1c2d337fc2b63f9::ADX_coin::ADXCoin>",40010,8727690424
